kata_id,kata_slug,kata_rank_id,kata_rank_name
59441520102eaa25260000bf,5-without-numbers,-8,8 kyu
5c8bfa44b9d1192e1ebd3d15,a-wolf-in-sheeps-clothing,-8,8 kyu
56efc695740d30f963000557,alternating-case-<-equals->-alternating-case,-8,8 kyu
5748838ce2fab90b86001b1a,area-of-a-square,-8,8 kyu
547274e24481cfc469000416,basic-subclasses-adam-and-eve,-8,8 kyu
511f0fe64ae8683297000001,basic-training-add-item-to-an-array,-8,8 kyu
55f9b48403f6b87a7c0000bd,beginner-series-number-1-school-paperwork,-8,8 kyu
55fab1ffda3e2e44f00000c6,beginner-series-number-4-cockroach,-8,8 kyu
57a5c31ce298a7e6b7000334,bin-to-decimal,-8,8 kyu
57a2013acf1fa5bfc4000921,calculate-average,-8,8 kyu
5a6663e9fd56cb5ab800008b,cat-years-dog-years,-8,8 kyu
5dd462a573ee6d0014ce715b,check-same-case,-8,8 kyu
551b4501ac0447318f0009cd,convert-a-boolean-to-a-string,-8,8 kyu
5265326f5fda8eb1160004c8,convert-a-number-to-a-string,-8,8 kyu
57e76bc428d6fbc2d500036d,convert-a-string-to-an-array,-8,8 kyu
5583090cbe83f4fd8c000051,convert-number-to-reversed-array-of-digits,-8,8 kyu
577bd026df78c19bca0002c0,correct-the-mistakes-of-the-character-recognition-software,-8,8 kyu
5513795bd3fafb56c200049e,count-by-x,-8,8 kyu
56a946cd7bd95ccab2000055,count-lowercase-letters-in-a-string,-8,8 kyu
5a34af40e1ce0eb1f5000036,csv-representation-of-array,-8,8 kyu
58cb43f4256836ed95000f97,difference-of-volumes-of-cuboids,-8,8 kyu
58dbdccee5ee8fa2f9000058,do-you-speak-english,-8,8 kyu
545991b4cbae2a5fda000158,enumerable-magic-does-my-list-include-this,-8,8 kyu
545afd0761aa4c3055001386,enumerable-magic-number-25-take-the-first-n-elements,-8,8 kyu
